role,user,assistant
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 유행하는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 짜파구리입니다.    재료: 짜파게티, 너구리    조리 방법: 짜파게티와 너구리의 면을 끓인 후 물을 버리고 소스를 짜파게티(2) 너구리(1)의 비율로 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 유행하는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 불닭치즈밥입니다.   재료: 불닭볶음면, 참치마요 삼각김밥, 치즈    조리 방법: 불닭볶음면을 끓인 후 참치 마요 삼각김밥을 섞은 후 치즈를 올려서 전자레인지에 30초 돌려서 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 유행하는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 마크정식입니다.    재료: 떡볶이, 스파게티 컵라면, 소세지, 치즈    조리 방법: 떡볶이와 컵라면을 조리해줍니다. 두 개를 섞은 후 소세지를 잘라 넣고 치즈를 올려서 전자레인지에 돌려줍니다. 맛있는 식사 되세요!"""
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 유행하는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 콘치즈 불닭볶음면 입니다.    재료: 불닭볶음면, 옥수수 통조림, 마요네즈, 치즈, 설탕     조리 방법: 옥수수와 마요네즈 설탕을 섞어 불닭볶음면 위에 올린 후 치즈를 뿌려 전자레인지에 돌려줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 유행하는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 불닭게티입니다.   재료: 불닭볶음면, 짜파게티    조리 방법: 불닭볶음면과 짜파게티를 각각 조리한 후 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 유행하는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 불그리입니다.    재료: 불닭볶음면, 너구리    조리 방법: 물을 끓인 후 불닭 액상소스 한봉지, 너구리 분말 반봉지, 건더기 스프, 다시마를 넣고 끓인 후 면을 넣고 함께 끓여줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 유행하는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 공불입니다.    재료: 공화춘, 불닭볶음면    조리 방법: 공화춘과 불닭볶음면을 각각 조리한 후 섞어줍니다. 맛있는 식사 되세요!
요즘 유행하는 편의점 레시피는 5분 만두국입니다.   재료: 사리곰탕, 만두    조리 방법: 만두를 전자레인지에 조리해줍니다. 사리곰탕을 끓인 후 만두를 넣어 만두국으로 만듭니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 유행하는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 맥나잇입니다.    재료: 꿀호떡, 감동란, 치즈    조리 방법: 꿀호떡을 굽고 치즈와 계란을 올려 맥모닝을 즐깁니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 유행하는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 진짬뽕 어묵탕입니다.   재료: 어묵탕, 진짬뽕    조리 방법: 진짬뽕과 어묵탕을 섞어서 전자레인지에 3분30초 돌립니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,스트링 치즈의 대체품을 알려줘,스트링 치즈의 대체품은 모짜렐라 치즈입니다. 고소하고 쭉 늘어나는 치즈의 묘미를 똑같이 즐길 수 있어요
